"Taxon","Transect","Planar","Site","Rugosity","Urchin","Micro","PF","Depth","year","value","Code","genus","morphology","class","kg_m2_yr"
"Macroalgae with CCA below",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,8.955223881,"MCCA","Macroalgae","CCA","SCP",0.1808
"Macroalgae with CCA below",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,11.94029851,"MCCA","Macroalgae","CCA","SCP",0.1808
"Macroalgae with CCA below",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,58.20895522,"MCCA","Macroalgae","CCA","SCP",0.1808
"Macroalgae with CCA below",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,11.94029851,"MCCA","Macroalgae","CCA","SCP",0.1808
"Macroalgae with CCA below",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,10.44776119,"MCCA","Macroalgae","CCA","SCP",0.1808
"Macroalgae with CCA below",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,14.92537313,"MCCA","Macroalgae","CCA","SCP",0.1808
"Macroalgae with CCA below",5,10.95,"STT",1.4,1.694,0.18,0.335,"deeper",2017,5.970149254,"MCCA","Macroalgae","CCA","SCP",0.1808
"Macroalgae with CCA below",6,10.5,"STT",1.33,1.257,0.225,0.335,"deeper",2017,32.8358209,"MCCA","Macroalgae","CCA","SCP",0.1808
"Macroalgae with CCA below",6,10.5,"STT",1.33,1.257,0.225,0.335,"deeper",2017,17.91044776,"MCCA","Macroalgae","CCA","SCP",0.1808
"Macroalgae with CCA below",6,10.5,"STT",1.33,1.257,0.225,0.335,"deeper",2017,62.68656716,"MCCA","Macroalgae","CCA","SCP",0.1808
"Macroalgae with CCA below",6,10.5,"STT",1.33,1.257,0.225,0.335,"deeper",2017,37.31343284,"MCCA","Macroalgae","CCA","SCP",0.1808
"Macroalgae with CCA below",6,10.5,"STT",1.33,1.257,0.225,0.335,"deeper",2017,31.34328358,"MCCA","Macroalgae","CCA","SCP",0.1808
"Macroalgae with CCA below",6,10.5,"STT",1.33,1.257,0.225,0.335,"deeper",2017,40.29850746,"MCCA","Macroalgae","CCA","SCP",0.1808
"Madracis decactis",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,5.970149254,"MDD","Madracis","encrusting","HC",34.362
"Millepora alcicornis",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,2.985074627,"MIA","Millepora","branching","HC",28.1026
"Millepora alcicornis",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,1.492537313,"MIA","Millepora","branching","HC",28.1026
"Millepora alcicornis",4,10.15,"STT",1.5,1.829,0.219,0.335,"deeper",2017,7.462686567,"MIA","Millepora","branching","HC",28.1026
"Millepora alcicornis",6,10.5,"STT",1.33,1.257,0.225,0.335,"deeper",2017,5.970149254,"MIA","Millepora","branching","HC",28.1026
"Montastraea cavernosa",2,10.45,"STT",1.44,0.619,0.223,0.335,"deeper",2017,8.955223881,"MOC","Montastraea","massive","HC",9.0681
"Montastraea cavernosa",3,10.85,"STT",1.4,1.323,0.214,0.335,"deeper",2017,7.462686567,"MOC","Montastraea","massive","HC",9.0681
"Orbicella annularis",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,59.70149254,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,88.05970149,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,49.25373134,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,20.89552239,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,32.8358209,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,35.82089552,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,49.25373134,"ORA","Orbicella","massive","HC",16.67335
"Orbicella annularis",1,10.1,"STT",1.51,1.626,0.196,0.335,"deeper",2017,17.91044776,"ORA","Orbicella","massive","HC",16.67335
